 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
  111         |      10.264      |       9.843  |      0.959
  112         |      10.264      |       9.810  |      0.956
  113         |      10.264      |       9.771  |      0.952
  114         |      10.264      |       9.807  |      0.955
  115         |      10.264      |       9.798  |      0.955
  116         |      10.264      |       9.737  |      0.949
  117         |      10.264      |       9.849  |      0.960
  118         |      10.264      |       9.824  |      0.957
  119         |      10.264      |       9.726  |      0.948
  120         |      10.264      |       9.703  |      0.945
  121         |      10.264      |       9.662  |      0.941
  122         |      10.264      |       9.620  |      0.937
  123         |      10.264      |       9.662  |      0.941
  124         |      10.264      |       9.782  |      0.953
  125         |      10.264      |       9.708  |      0.946
  126         |      10.264      |       9.683  |      0.943
  127         |      10.264      |       9.713  |      0.946
  128         |      10.264      |       9.703  |      0.945
  129         |      10.264      |       9.752  |      0.950
  130         |      10.264      |       9.683  |      0.943
  131         |      10.264      |       9.708  |      0.946
  132         |      10.264      |       9.695  |      0.945
  133         |      10.264      |       9.701  |      0.945
  134         |      10.264      |       9.699  |      0.945
  135         |      10.264      |       9.787  |      0.954
  136         |      10.264      |       9.653  |      0.940
  137         |      10.264      |       9.746  |      0.950
  138         |      10.264      |       9.709  |      0.946
  139         |      10.264      |       9.672  |      0.942
  140         |      10.264      |       9.686  |      0.944
  141         |      10.264      |       9.655  |      0.941
  142         |      10.264      |       9.669  |      0.942
  143         |      10.264      |       9.715  |      0.947
  144         |      10.264      |       9.672  |      0.942
  145         |      10.264      |       9.763  |      0.951
  146         |      10.264      |       9.739  |      0.949
  147         |      10.264      |       9.722  |      0.947
  148         |      10.264      |       9.699  |      0.945
  149         |      10.264      |       9.682  |      0.943
  150         |      10.264      |       9.708  |      0.946
  151         |      10.264      |       9.662  |      0.941
  152         |      10.264      |       9.714  |      0.946
  153         |      10.264      |       9.738  |      0.949
  154         |      10.264      |       9.687  |      0.944
  155         |      10.264      |       9.700  |      0.945
  156         |      10.264      |       9.793  |      0.954
  157         |      10.264      |       9.754  |      0.950
  158         |      10.264      |       9.673  |      0.942
  159         |      10.264      |       9.723  |      0.947
  160         |      10.264      |       9.748  |      0.950
  161         |      10.264      |       9.732  |      0.948
  162         |      10.264      |       9.811  |      0.956
  163         |      10.264      |       9.729  |      0.948
  164         |      10.264      |       9.816  |      0.956
  165         |      10.264      |       9.730  |      0.948
  166         |      10.264      |       9.754  |      0.950
  167         |      10.264      |       9.807  |      0.956
  168         |      10.264      |       9.785  |      0.953
  169         |      10.264      |       9.771  |      0.952
  170         |      10.264      |       9.834  |      0.958
  171         |      10.264      |       9.724  |      0.947
  172         |      10.264      |       9.793  |      0.954
  173         |      10.264      |       9.768  |      0.952
  174         |      10.264      |       9.762  |      0.951
  175         |      10.264      |       9.723  |      0.947
  176         |      10.264      |       9.718  |      0.947
  177         |      10.264      |       9.814  |      0.956
  178         |      10.264      |       9.744  |      0.949
  179         |      10.264      |       9.793  |      0.954
  180         |      10.264      |       9.697  |      0.945
  181         |      10.264      |       9.691  |      0.944
  182         |      10.264      |       9.790  |      0.954
  183         |      10.264      |       9.821  |      0.957
  184         |      10.264      |       9.810  |      0.956
  185         |      10.264      |       9.715  |      0.947
  186         |      10.264      |       9.759  |      0.951
  187         |      10.264      |       9.791  |      0.954
  188         |      10.264      |       9.762  |      0.951
  189         |      10.264      |       9.746  |      0.950
  190         |      10.264      |       9.739  |      0.949
  191         |      10.264      |       9.801  |      0.955
  192         |      10.264      |       9.797  |      0.954
  193         |      10.264      |       9.827  |      0.957
  194         |      10.264      |       9.759  |      0.951
  195         |      10.264      |       9.741  |      0.949
  196         |      10.264      |       9.811  |      0.956
  197         |      10.264      |       9.767  |      0.952
  198         |      10.264      |       9.827  |      0.957
  199         |      10.264      |       9.739  |      0.949
  200         |      10.264      |       9.751  |      0.950
  201         |      10.264      |       9.765  |      0.951
  202         |      10.264      |       9.824  |      0.957
  203         |      10.264      |       9.839  |      0.959
  204         |      10.264      |       9.755  |      0.950
  205         |      10.264      |       9.746  |      0.950
  206         |      10.264      |       9.729  |      0.948
  207         |      10.264      |       9.760  |      0.951
  208         |      10.264      |       9.804  |      0.955
  209         |      10.264      |       9.720  |      0.947
  210         |      10.264      |       9.720  |      0.947
  211         |      10.264      |       9.756  |      0.951
  212         |      10.264      |       9.688  |      0.944
  213         |      10.264      |       9.742  |      0.949
  214         |      10.264      |       9.710  |      0.946
  215         |      10.264      |       9.829  |      0.958
  216         |      10.264      |       9.760  |      0.951
  217         |      10.264      |       9.715  |      0.947
  218         |      10.264      |       9.720  |      0.947
  219         |      10.264      |       9.745  |      0.949
  220         |      10.264      |       9.722  |      0.947
  221         |      10.264      |       9.731  |      0.948
  222         |      10.264      |       9.725  |      0.948
  223         |      10.264      |       9.707  |      0.946
  224         |      10.264      |       9.726  |      0.948
  225         |      10.264      |       9.721  |      0.947
  226         |      10.264      |       9.684  |      0.944
  227         |      10.264      |       9.742  |      0.949
  228         |      10.264      |       9.739  |      0.949
  229         |      10.264      |       9.733  |      0.948
  230         |      10.264      |       9.693  |      0.944
  231         |      10.264      |       9.776  |      0.952
  232         |      10.264      |       9.748  |      0.950
  233         |      10.264      |       9.725  |      0.947
  234         |      10.264      |       9.765  |      0.951
  235         |      10.264      |       9.698  |      0.945
