 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
  108         |       9.813      |       9.140  |      0.931
  109         |       9.813      |       9.216  |      0.939
  110         |       9.813      |       9.304  |      0.948
  111         |       9.813      |       9.192  |      0.937
  112         |       9.813      |       9.192  |      0.937
  113         |       9.813      |       9.320  |      0.950
  114         |       9.813      |       9.208  |      0.938
  115         |       9.813      |       9.240  |      0.942
  116         |       9.813      |       9.168  |      0.934
  117         |       9.813      |       9.184  |      0.936
  118         |       9.813      |       9.352  |      0.953
  119         |       9.813      |       9.304  |      0.948
  120         |       9.813      |       9.176  |      0.935
  121         |       9.813      |       9.252  |      0.943
  122         |       9.813      |       9.208  |      0.938
  123         |       9.813      |       9.348  |      0.953
  124         |       9.813      |       9.324  |      0.950
  125         |       9.813      |       9.148  |      0.932
  126         |       9.813      |       9.148  |      0.932
  127         |       9.813      |       9.252  |      0.943
  128         |       9.813      |       9.252  |      0.943
  129         |       9.813      |       9.248  |      0.942
  130         |       9.813      |       9.268  |      0.944
  131         |       9.813      |       9.380  |      0.956
  132         |       9.813      |       9.128  |      0.930
  133         |       9.813      |       9.156  |      0.933
  134         |       9.813      |       9.168  |      0.934
  135         |       9.813      |       9.172  |      0.935
  136         |       9.813      |       9.284  |      0.946
  137         |       9.813      |       9.196  |      0.937
  138         |       9.813      |       9.176  |      0.935
  139         |       9.813      |       9.124  |      0.930
  140         |       9.813      |       9.180  |      0.935
  141         |       9.813      |       9.168  |      0.934
  142         |       9.813      |       9.172  |      0.935
  143         |       9.813      |       9.124  |      0.930
  144         |       9.813      |       9.148  |      0.932
  145         |       9.813      |       9.140  |      0.931
  146         |       9.813      |       9.120  |      0.929
  147         |       9.813      |       9.188  |      0.936
  148         |       9.813      |       9.180  |      0.935
  149         |       9.813      |       9.140  |      0.931
  150         |       9.813      |       9.140  |      0.931
  151         |       9.813      |       9.152  |      0.933
  152         |       9.813      |       9.132  |      0.931
  153         |       9.813      |       9.180  |      0.935
  154         |       9.813      |       9.204  |      0.938
  155         |       9.813      |       9.208  |      0.938
  156         |       9.813      |       9.236  |      0.941
  157         |       9.813      |       9.304  |      0.948
  158         |       9.813      |       9.340  |      0.952
  159         |       9.813      |       9.236  |      0.941
  160         |       9.813      |       9.176  |      0.935
  161         |       9.813      |       9.244  |      0.942
  162         |       9.813      |       9.320  |      0.950
  163         |       9.813      |       9.208  |      0.938
  164         |       9.813      |       9.228  |      0.940
  165         |       9.813      |       9.288  |      0.946
  166         |       9.813      |       9.268  |      0.944
  167         |       9.813      |       9.228  |      0.940
  168         |       9.813      |       9.300  |      0.948
  169         |       9.813      |       9.360  |      0.954
  170         |       9.813      |       9.388  |      0.957
  171         |       9.813      |       9.316  |      0.949
  172         |       9.813      |       9.312  |      0.949
  173         |       9.813      |       9.308  |      0.948
  174         |       9.813      |       9.376  |      0.955
  175         |       9.813      |       9.372  |      0.955
  176         |       9.813      |       9.080  |      0.925
  177         |       9.813      |       9.136  |      0.931
  178         |       9.813      |       9.272  |      0.945
  179         |       9.813      |       9.156  |      0.933
  180         |       9.813      |       9.108  |      0.928
  181         |       9.813      |       9.120  |      0.929
  182         |       9.813      |       9.148  |      0.932
  183         |       9.813      |       9.140  |      0.931
  184         |       9.813      |       9.144  |      0.932
  185         |       9.813      |       9.172  |      0.935
  186         |       9.813      |       9.104  |      0.928
  187         |       9.813      |       9.172  |      0.935
  188         |       9.813      |       9.108  |      0.928
  189         |       9.813      |       9.156  |      0.933
  190         |       9.813      |       9.148  |      0.932
  191         |       9.813      |       9.092  |      0.926
  192         |       9.813      |       9.144  |      0.932
  193         |       9.813      |       9.184  |      0.936
  194         |       9.813      |       9.224  |      0.940
  195         |       9.813      |       9.176  |      0.935
  196         |       9.813      |       9.160  |      0.933
  197         |       9.813      |       9.172  |      0.935
  198         |       9.813      |       9.224  |      0.940
  199         |       9.813      |       9.344  |      0.952
  200         |       9.813      |       9.232  |      0.941
  201         |       9.813      |       9.204  |      0.938
  202         |       9.813      |       9.204  |      0.938
  203         |       9.813      |       9.284  |      0.946
  204         |       9.813      |       9.252  |      0.943
  205         |       9.813      |       9.184  |      0.936
  206         |       9.813      |       9.192  |      0.937
  207         |       9.813      |       9.180  |      0.935
  208         |       9.813      |       9.232  |      0.941
  209         |       9.813      |       9.140  |      0.931
  210         |       9.813      |       9.172  |      0.935
  211         |       9.813      |       9.292  |      0.947
  212         |       9.813      |       9.352  |      0.953
  213         |       9.813      |       9.296  |      0.947
  214         |       9.813      |       9.320  |      0.950
  215         |       9.813      |       9.320  |      0.950
  216         |       9.813      |       9.364  |      0.954
  217         |       9.813      |       9.412  |      0.959
  218         |       9.813      |       9.340  |      0.952
  219         |       9.813      |       9.364  |      0.954
  220         |       9.813      |       9.136  |      0.931
  221         |       9.813      |       9.120  |      0.929
  222         |       9.813      |       9.212  |      0.939
  223         |       9.813      |       9.132  |      0.931
  224         |       9.813      |       9.188  |      0.936
  225         |       9.813      |       9.144  |      0.932
  226         |       9.813      |       9.168  |      0.934
  227         |       9.813      |       9.092  |      0.926
  228         |       9.813      |       9.188  |      0.936
  229         |       9.813      |       9.144  |      0.932
  230         |       9.813      |       9.116  |      0.929
  231         |       9.813      |       9.164  |      0.934
  232         |       9.813      |       9.164  |      0.934
  233         |       9.813      |       9.132  |      0.931
  234         |       9.813      |       9.140  |      0.931
  235         |       9.813      |       9.188  |      0.936
  236         |       9.813      |       9.152  |      0.933
  237         |       9.813      |       9.100  |      0.927
  238         |       9.813      |       9.136  |      0.931
  239         |       9.813      |       9.148  |      0.932
  240         |       9.813      |       9.116  |      0.929
  241         |       9.813      |       9.092  |      0.926
  242         |       9.813      |       9.168  |      0.934
  243         |       9.813      |       9.152  |      0.933
  244         |       9.813      |       9.172  |      0.935
  245         |       9.813      |       9.228  |      0.940
  246         |       9.813      |       9.100  |      0.927
  247         |       9.813      |       9.180  |      0.935
  248         |       9.813      |       9.324  |      0.950
  249         |       9.813      |       9.172  |      0.935
  250         |       9.813      |       9.120  |      0.929
  251         |       9.813      |       9.164  |      0.934
  252         |       9.813      |       9.188  |      0.936
  253         |       9.813      |       9.148  |      0.932
  254         |       9.813      |       9.256  |      0.943
  255         |       9.813      |       9.152  |      0.933
  256         |       9.813      |       9.180  |      0.935
  257         |       9.813      |       9.252  |      0.943
  258         |       9.813      |       9.168  |      0.934
  259         |       9.813      |       9.160  |      0.933
  260         |       9.813      |       9.312  |      0.949
  261         |       9.813      |       9.232  |      0.941
  262         |       9.813      |       9.212  |      0.939
  263         |       9.813      |       9.264  |      0.944
  264         |       9.813      |       9.196  |      0.937
  265         |       9.813      |       9.196  |      0.937
  266         |       9.813      |       9.224  |      0.940
  267         |       9.813      |       9.180  |      0.935
  268         |       9.813      |       9.196  |      0.937
  269         |       9.813      |       9.196  |      0.937
  270         |       9.813      |       9.196  |      0.937
  271         |       9.813      |       9.144  |      0.932
  272         |       9.813      |       9.184  |      0.936
  273         |       9.813      |       9.152  |      0.933
  274         |       9.813      |       9.164  |      0.934
  275         |       9.813      |       9.324  |      0.950
  276         |       9.813      |       9.200  |      0.937
  277         |       9.813      |       9.176  |      0.935
  278         |       9.813      |       9.112  |      0.929
  279         |       9.813      |       9.144  |      0.932
  280         |       9.813      |       9.124  |      0.930
  281         |       9.813      |       9.296  |      0.947
  282         |       9.813      |       9.188  |      0.936
  283         |       9.813      |       9.260  |      0.944
  284         |       9.813      |       9.260  |      0.944
  285         |       9.813      |       9.160  |      0.933
  286         |       9.813      |       9.208  |      0.938
  287         |       9.813      |       9.212  |      0.939
  288         |       9.813      |       9.164  |      0.934
  289         |       9.813      |       9.252  |      0.943
  290         |       9.813      |       9.212  |      0.939
  291         |       9.813      |       9.280  |      0.946
  292         |       9.813      |       9.276  |      0.945
  293         |       9.813      |       9.216  |      0.939
  294         |       9.813      |       9.296  |      0.947
  295         |       9.813      |       9.240  |      0.942
  296         |       9.813      |       9.280  |      0.946
  297         |       9.813      |       9.280  |      0.946
  298         |       9.813      |       9.156  |      0.933
  299         |       9.813      |       9.280  |      0.946
  300         |       9.813      |       9.276  |      0.945
  301         |       9.813      |       9.268  |      0.944
  302         |       9.813      |       9.324  |      0.950
  303         |       9.813      |       9.220  |      0.940
  304         |       9.813      |       9.252  |      0.943
  305         |       9.813      |       9.312  |      0.949
  306         |       9.813      |       9.192  |      0.937
  307         |       9.813      |       9.236  |      0.941
  308         |       9.813      |       9.204  |      0.938
  309         |       9.813      |       9.204  |      0.938
  310         |       9.813      |       9.228  |      0.940
  311         |       9.813      |       9.228  |      0.940
  312         |       9.813      |       9.152  |      0.933
  313         |       9.813      |       9.156  |      0.933
  314         |       9.813      |       9.252  |      0.943
  315         |       9.813      |       9.180  |      0.935
  316         |       9.813      |       9.248  |      0.942
  317         |       9.813      |       9.284  |      0.946
  318         |       9.813      |       9.164  |      0.934
  319         |       9.813      |       9.140  |      0.931
  320         |       9.813      |       9.284  |      0.946
  321         |       9.813      |       9.180  |      0.935
  322         |       9.813      |       9.232  |      0.941
  323         |       9.813      |       9.188  |      0.936
  324         |       9.813      |       9.152  |      0.933
  325         |       9.813      |       9.328  |      0.951
  326         |       9.813      |       9.268  |      0.944
  327         |       9.813      |       9.228  |      0.940
  328         |       9.813      |       9.156  |      0.933
  329         |       9.813      |       9.240  |      0.942
  330         |       9.813      |       9.248  |      0.942
  331         |       9.813      |       9.144  |      0.932
  332         |       9.813      |       9.244  |      0.942
  333         |       9.813      |       9.180  |      0.935
  334         |       9.813      |       9.284  |      0.946
  335         |       9.813      |       9.152  |      0.933
  336         |       9.813      |       9.168  |      0.934
  337         |       9.813      |       9.288  |      0.946
  338         |       9.813      |       9.248  |      0.942
  339         |       9.813      |       9.212  |      0.939
  340         |       9.813      |       9.200  |      0.937
  341         |       9.813      |       9.196  |      0.937
  342         |       9.813      |       9.264  |      0.944
  343         |       9.813      |       9.192  |      0.937
  344         |       9.813      |       9.284  |      0.946
  345         |       9.813      |       9.300  |      0.948
  346         |       9.813      |       9.312  |      0.949
  347         |       9.813      |       9.328  |      0.951
  348         |       9.813      |       9.336  |      0.951
  349         |       9.813      |       9.324  |      0.950
  350         |       9.813      |       9.348  |      0.953
  351         |       9.813      |       9.424  |      0.960
  352         |       9.813      |       9.104  |      0.928
  353         |       9.813      |       9.084  |      0.926
  354         |       9.813      |       9.084  |      0.926
  355         |       9.813      |       9.076  |      0.925
  356         |       9.813      |       9.088  |      0.926
  357         |       9.813      |       9.088  |      0.926
  358         |       9.813      |       9.124  |      0.930
  359         |       9.813      |       8.996  |      0.917
  360         |       9.813      |       9.056  |      0.923
  361         |       9.813      |       9.084  |      0.926
  362         |       9.813      |       9.068  |      0.924
  363         |       9.813      |       9.088  |      0.926
  364         |       9.813      |       9.116  |      0.929
  365         |       9.813      |       9.096  |      0.927
  366         |       9.813      |       9.144  |      0.932
  367         |       9.813      |       9.084  |      0.926
  368         |       9.813      |       9.168  |      0.934
  369         |       9.813      |       9.156  |      0.933
  370         |       9.813      |       9.108  |      0.928
  371         |       9.813      |       9.120  |      0.929
  372         |       9.813      |       9.100  |      0.927
  373         |       9.813      |       9.148  |      0.932
  374         |       9.813      |       9.244  |      0.942
  375         |       9.813      |       9.108  |      0.928
  376         |       9.813      |       9.108  |      0.928
  377         |       9.813      |       9.064  |      0.924
  378         |       9.813      |       9.168  |      0.934
  379         |       9.813      |       9.144  |      0.932
  380         |       9.813      |       9.216  |      0.939
  381         |       9.813      |       9.036  |      0.921
  382         |       9.813      |       9.148  |      0.932
  383         |       9.813      |       9.092  |      0.926
  384         |       9.813      |       9.136  |      0.931
  385         |       9.813      |       9.080  |      0.925
  386         |       9.813      |       9.136  |      0.931
  387         |       9.813      |       9.256  |      0.943
  388         |       9.813      |       9.092  |      0.926
  389         |       9.813      |       9.076  |      0.925
  390         |       9.813      |       9.068  |      0.924
  391         |       9.813      |       9.140  |      0.931
  392         |       9.813      |       9.128  |      0.930
  393         |       9.813      |       9.140  |      0.931
  394         |       9.813      |       9.244  |      0.942
  395         |       9.813      |       9.148  |      0.932
  396         |       9.813      |       9.056  |      0.923
  397         |       9.813      |       9.168  |      0.934
  398         |       9.813      |       9.172  |      0.935
  399         |       9.813      |       9.120  |      0.929
  400         |       9.813      |       9.076  |      0.925
  401         |       9.813      |       9.164  |      0.934
  402         |       9.813      |       9.160  |      0.933
  403         |       9.813      |       9.100  |      0.927
  404         |       9.813      |       9.072  |      0.924
  405         |       9.813      |       9.100  |      0.927
  406         |       9.813      |       9.148  |      0.932
  407         |       9.813      |       9.124  |      0.930
  408         |       9.813      |       9.156  |      0.933
  409         |       9.813      |       9.104  |      0.928
  410         |       9.813      |       9.112  |      0.929
  411         |       9.813      |       9.088  |      0.926
  412         |       9.813      |       9.124  |      0.930
  413         |       9.813      |       9.116  |      0.929
  414         |       9.813      |       9.132  |      0.931
  415         |       9.813      |       9.132  |      0.931
  416         |       9.813      |       9.104  |      0.928
  417         |       9.813      |       9.140  |      0.931
  418         |       9.813      |       9.056  |      0.923
  419         |       9.813      |       9.220  |      0.940
  420         |       9.813      |       9.112  |      0.929
  421         |       9.813      |       9.148  |      0.932
  422         |       9.813      |       9.116  |      0.929
  423         |       9.813      |       9.076  |      0.925
  424         |       9.813      |       9.084  |      0.926
  425         |       9.813      |       9.136  |      0.931
  426         |       9.813      |       9.180  |      0.935
  427         |       9.813      |       9.124  |      0.930
  428         |       9.813      |       9.064  |      0.924
  429         |       9.813      |       9.148  |      0.932
  430         |       9.813      |       9.120  |      0.929
  431         |       9.813      |       9.120  |      0.929
  432         |       9.813      |       9.100  |      0.927
  433         |       9.813      |       9.184  |      0.936
  434         |       9.813      |       9.280  |      0.946
  435         |       9.813      |       9.220  |      0.940
  436         |       9.813      |       9.276  |      0.945
  437         |       9.813      |       9.268  |      0.944
  438         |       9.813      |       9.252  |      0.943
  439         |       9.813      |       9.328  |      0.951
  440         |       9.813      |       9.128  |      0.930
  441         |       9.813      |       9.120  |      0.929
  442         |       9.813      |       9.104  |      0.928
  443         |       9.813      |       9.116  |      0.929
  444         |       9.813      |       9.100  |      0.927
  445         |       9.813      |       9.164  |      0.934
  446         |       9.813      |       9.084  |      0.926
  447         |       9.813      |       9.108  |      0.928
  448         |       9.813      |       9.164  |      0.934
  449         |       9.813      |       9.116  |      0.929
  450         |       9.813      |       9.256  |      0.943
  451         |       9.813      |       9.148  |      0.932
  452         |       9.813      |       9.128  |      0.930
  453         |       9.813      |       9.112  |      0.929
  454         |       9.813      |       9.168  |      0.934
  455         |       9.813      |       9.148  |      0.932
  456         |       9.813      |       9.148  |      0.932
  457         |       9.813      |       9.156  |      0.933
  458         |       9.813      |       9.188  |      0.936
  459         |       9.813      |       9.100  |      0.927
  460         |       9.813      |       9.272  |      0.945
  461         |       9.813      |       9.148  |      0.932
  462         |       9.813      |       9.128  |      0.930
  463         |       9.813      |       9.164  |      0.934
  464         |       9.813      |       9.232  |      0.941
  465         |       9.813      |       9.144  |      0.932
  466         |       9.813      |       9.228  |      0.940
  467         |       9.813      |       9.148  |      0.932
  468         |       9.813      |       9.252  |      0.943
  469         |       9.813      |       9.096  |      0.927
  470         |       9.813      |       9.112  |      0.929
  471         |       9.813      |       9.116  |      0.929
  472         |       9.813      |       9.132  |      0.931
  473         |       9.813      |       9.108  |      0.928
  474         |       9.813      |       9.172  |      0.935
  475         |       9.813      |       9.104  |      0.928
  476         |       9.813      |       9.188  |      0.936
  477         |       9.813      |       9.128  |      0.930
  478         |       9.813      |       9.084  |      0.926
  479         |       9.813      |       9.092  |      0.926
  480         |       9.813      |       9.080  |      0.925
  481         |       9.813      |       9.304  |      0.948
  482         |       9.813      |       9.132  |      0.931
  483         |       9.813      |       9.056  |      0.923
  484         |       9.813      |       9.084  |      0.926
  485         |       9.813      |       9.124  |      0.930
  486         |       9.813      |       9.188  |      0.936
  487         |       9.813      |       9.140  |      0.931
  488         |       9.813      |       9.164  |      0.934
  489         |       9.813      |       9.176  |      0.935
  490         |       9.813      |       9.176  |      0.935
  491         |       9.813      |       9.128  |      0.930
  492         |       9.813      |       9.136  |      0.931
  493         |       9.813      |       9.112  |      0.929
  494         |       9.813      |       9.180  |      0.935
  495         |       9.813      |       9.180  |      0.935
  496         |       9.813      |       9.196  |      0.937
  497         |       9.813      |       9.196  |      0.937
  498         |       9.813      |       9.252  |      0.943
  499         |       9.813      |       9.136  |      0.931
  500         |       9.813      |       9.200  |      0.937
  501         |       9.813      |       9.132  |      0.931
  502         |       9.813      |       9.204  |      0.938
  503         |       9.813      |       9.160  |      0.933
  504         |       9.813      |       9.108  |      0.928
  505         |       9.813      |       9.128  |      0.930
  506         |       9.813      |       9.088  |      0.926
  507         |       9.813      |       9.140  |      0.931
  508         |       9.813      |       9.052  |      0.922
  509         |       9.813      |       9.128  |      0.930
  510         |       9.813      |       9.156  |      0.933
  511         |       9.813      |       9.264  |      0.944
  512         |       9.813      |       9.140  |      0.931
  513         |       9.813      |       9.172  |      0.935
  514         |       9.813      |       9.140  |      0.931
  515         |       9.813      |       9.240  |      0.942
  516         |       9.813      |       9.144  |      0.932
  517         |       9.813      |       9.160  |      0.933
  518         |       9.813      |       9.136  |      0.931
  519         |       9.813      |       9.144  |      0.932
  520         |       9.813      |       9.208  |      0.938
  521         |       9.813      |       9.196  |      0.937
  522         |       9.813      |       9.104  |      0.928
  523         |       9.813      |       9.204  |      0.938
  524         |       9.813      |       9.204  |      0.938
  525         |       9.813      |       9.292  |      0.947
  526         |       9.813      |       9.280  |      0.946
  527         |       9.813      |       9.136  |      0.931
  528         |       9.813      |       9.116  |      0.929
  529         |       9.813      |       9.188  |      0.936
  530         |       9.813      |       9.128  |      0.930
  531         |       9.813      |       9.132  |      0.931
  532         |       9.813      |       9.244  |      0.942
  533         |       9.813      |       9.172  |      0.935
  534         |       9.813      |       9.124  |      0.930
  535         |       9.813      |       9.180  |      0.935
  536         |       9.813      |       9.128  |      0.930
  537         |       9.813      |       9.124  |      0.930
  538         |       9.813      |       9.200  |      0.937
  539         |       9.813      |       9.160  |      0.933
  540         |       9.813      |       9.108  |      0.928
  541         |       9.813      |       9.132  |      0.931
  542         |       9.813      |       9.160  |      0.933
  543         |       9.813      |       9.184  |      0.936
  544         |       9.813      |       9.152  |      0.933
  545         |       9.813      |       9.188  |      0.936
  546         |       9.813      |       9.176  |      0.935
  547         |       9.813      |       9.272  |      0.945
  548         |       9.813      |       9.120  |      0.929
  549         |       9.813      |       9.104  |      0.928
  550         |       9.813      |       9.156  |      0.933
  551         |       9.813      |       9.104  |      0.928
  552         |       9.813      |       9.100  |      0.927
