 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
  108         |      19.033      |      18.432  |      0.968
  109         |      19.033      |      18.548  |      0.975
  110         |      19.033      |      18.468  |      0.970
  111         |      19.033      |      18.464  |      0.970
  112         |      19.033      |      18.464  |      0.970
  113         |      19.033      |      18.416  |      0.968
  114         |      19.033      |      18.396  |      0.967
  115         |      19.033      |      18.388  |      0.966
  116         |      19.033      |      18.516  |      0.973
  117         |      19.033      |      18.504  |      0.972
  118         |      19.033      |      18.512  |      0.973
  119         |      19.033      |      18.408  |      0.967
  120         |      19.033      |      18.492  |      0.972
  121         |      19.033      |      18.600  |      0.977
  122         |      19.033      |      18.548  |      0.975
  123         |      19.033      |      18.516  |      0.973
  124         |      19.033      |      18.396  |      0.967
  125         |      19.033      |      18.444  |      0.969
  126         |      19.033      |      18.424  |      0.968
  127         |      19.033      |      18.400  |      0.967
  128         |      19.033      |      18.420  |      0.968
  129         |      19.033      |      18.472  |      0.971
  130         |      19.033      |      18.384  |      0.966
  131         |      19.033      |      18.432  |      0.968
  132         |      19.033      |      18.344  |      0.964
  133         |      19.033      |      18.392  |      0.966
  134         |      19.033      |      18.392  |      0.966
  135         |      19.033      |      18.400  |      0.967
  136         |      19.033      |      18.344  |      0.964
  137         |      19.033      |      18.472  |      0.971
  138         |      19.033      |      18.468  |      0.970
  139         |      19.033      |      18.456  |      0.970
  140         |      19.033      |      18.484  |      0.971
  141         |      19.033      |      18.464  |      0.970
  142         |      19.033      |      18.416  |      0.968
  143         |      19.033      |      18.400  |      0.967
  144         |      19.033      |      18.464  |      0.970
  145         |      19.033      |      18.388  |      0.966
  146         |      19.033      |      18.372  |      0.965
  147         |      19.033      |      18.328  |      0.963
  148         |      19.033      |      18.368  |      0.965
  149         |      19.033      |      18.484  |      0.971
  150         |      19.033      |      18.408  |      0.967
  151         |      19.033      |      18.428  |      0.968
  152         |      19.033      |      18.568  |      0.976
  153         |      19.033      |      18.388  |      0.966
  154         |      19.033      |      18.420  |      0.968
  155         |      19.033      |      18.372  |      0.965
  156         |      19.033      |      18.432  |      0.968
  157         |      19.033      |      18.408  |      0.967
  158         |      19.033      |      18.444  |      0.969
  159         |      19.033      |      18.400  |      0.967
  160         |      19.033      |      18.492  |      0.972
  161         |      19.033      |      18.492  |      0.972
  162         |      19.033      |      18.500  |      0.972
