 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
 bn2                            1.369             0.802        1.367         0.841        0.999       1440
 eos-insitu                     1.357             0.795        1.355         0.834        0.999        720
 p2z_bio                        1.311             0.768        1.312         0.808        1.001        720
 eos-pot                        1.297             0.760        1.290         0.794        0.995        720
 trc_sbc                        0.976             0.572        0.976         0.600        1.000        720
 dyn_zad                        0.944             0.553        0.945         0.581        1.001        720
 ssh_nxt                        0.799             0.468        0.798         0.491        0.999        720
 wzv                            0.746             0.438        0.747         0.460        1.001       1440
 dyn_keg                        0.723             0.424        0.722         0.445        0.999        720
 dyn_vor                        0.633             0.371        0.635         0.391        1.003        720
 dyn_hpg                        0.537             0.315        0.538         0.331        1.002        720
 trc_trp                        0.509             0.298        0.490         0.302        0.962        720
 sbc                            0.343             0.201        0.277         0.170        0.806        720
 p2z_sed                        0.151             0.089        0.153         0.094        1.011        720
 p2z_sms                        0.128             0.075        0.102         0.063        0.796        720
 nemo_init                      0.118             0.069        0.084         0.052        0.713          1
 dyn_adv                        0.111             0.065        0.108         0.066        0.968        720
 trc_init                       0.107             0.063        0.032         0.020        0.299          1
 tra_sbc                        0.046             0.027        0.048         0.030        1.047        720
 day                            0.040             0.024        0.001         0.001        0.027        720
 ssh_swp                        0.005             0.003        0.006         0.004        1.320        720
 trc_sms                        0.003             0.001        0.003         0.002        1.155        720
 dom_hgr                        0.000             0.000        0.000         0.000        0.715          1
 dia_ar5                       -0.001            -0.001        0.000         0.000       -0.064        720
 
 Timing started on 19/04/2019 at 08:45:28 MET +00:00 from GMT
 Timing   ended on 19/04/2019 at 08:48:18 MET +00:00 from GMT
