 Process Rank | Elapsed Time (s) | CPU Time (s) | Ratio CPU/Elapsed
 -------------|------------------|--------------|------------------
 eos-insitu                     1.365             0.796        1.368         0.829        1.002        720
 p2z_bio                        1.303             0.759        1.303         0.789        1.000        720
 eos-pot                        1.288             0.751        1.289         0.781        1.000        720
 dyn_zad                        0.962             0.561        0.964         0.584        1.002        720
 trc_sbc                        0.961             0.560        0.954         0.578        0.993        720
 ssh_nxt                        0.790             0.461        0.791         0.480        1.002        720
 dyn_keg                        0.736             0.429        0.737         0.447        1.001        720
 p2z_exp                        0.726             0.423        0.728         0.441        1.003        720
 wzv                            0.712             0.415        0.715         0.433        1.003       1440
 dyn_vor                        0.637             0.372        0.639         0.387        1.002        720
 trc_trp                        0.516             0.301        0.495         0.300        0.960        720
 dyn_hpg                        0.499             0.291        0.501         0.304        1.005        720
 sbc                            0.337             0.197        0.270         0.164        0.800        720
 p2z_sed                        0.152             0.089        0.154         0.093        1.012        720
 nemo_init                      0.126             0.074        0.093         0.056        0.733          1
 dyn_adv                        0.114             0.067        0.111         0.067        0.969        720
 p2z_sms                        0.112             0.065        0.102         0.062        0.918        720
 trc_init                       0.100             0.058        0.060         0.037        0.605          1
 tra_sbc                        0.047             0.028        0.050         0.030        1.050        720
 day                            0.046             0.027        0.001         0.001        0.019        720
 ssh_swp                        0.005             0.003        0.007         0.004        1.336        720
 trc_sms                        0.003             0.001        0.003         0.002        1.118        720
 dom_hgr                        0.000             0.000        0.000         0.000        1.017          1
 dia_ar5                       -0.002            -0.001        0.000         0.000       -0.027        720
 
 Timing started on 19/04/2019 at 10:11:47 MET +00:00 from GMT
 Timing   ended on 19/04/2019 at 10:14:39 MET +00:00 from GMT
